       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.216047134E+03   0.319399538E-05   0.587097173E-06   0.231885622E-04   0.103947696E-03   0.474169810E-03   0.913684077E+01   0.403274265E+00   0.129414831E+01   0.406255618E+00   0.127688043E+01   0.810323959E+01   0.560934078E+00   0.101020910E+01   0.338431150E+01   0.105572833E+01   0.328233255E+01   0.216049066E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681720886E+01
  0.225440488E+03   0.319951019E-05   0.587097173E-06   0.241649797E-04   0.103947696E-03   0.494873884E-03   0.913684077E+01   0.414253363E+00   0.129414831E+01   0.417042873E+00   0.127688043E+01   0.829169573E+01   0.560934078E+00   0.103651678E+01   0.338431150E+01   0.108503328E+01   0.328233255E+01   0.222118571E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681721069E+01
  0.234833841E+03   0.320502500E-05   0.587097173E-06   0.251413971E-04   0.103947696E-03   0.515577958E-03   0.913684077E+01   0.425296509E+00   0.129414831E+01   0.427894391E+00   0.127688043E+01   0.848301922E+01   0.560934078E+00   0.106282447E+01   0.338431150E+01   0.111433823E+01   0.328233255E+01   0.228188076E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681721291E+01
  0.244227195E+03   0.321053981E-05   0.587097173E-06   0.261178146E-04   0.103947696E-03   0.536282032E-03   0.913684077E+01   0.436398840E+00   0.129414831E+01   0.438805405E+00   0.127688043E+01   0.867702038E+01   0.560934078E+00   0.108913215E+01   0.338431150E+01   0.114364318E+01   0.328233255E+01   0.234257581E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681721552E+01
  0.253620549E+03   0.321605462E-05   0.587097173E-06   0.270942321E-04   0.103947696E-03   0.556986107E-03   0.913684077E+01   0.447555953E+00   0.129414831E+01   0.449771584E+00   0.127688043E+01   0.887352359E+01   0.560934078E+00   0.111543984E+01   0.338431150E+01   0.117294813E+01   0.328233255E+01   0.240327086E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681721853E+01
  0.263013902E+03   0.322156943E-05   0.587097173E-06   0.280706495E-04   0.103947696E-03   0.577690181E-03   0.913684077E+01   0.458763850E+00   0.129414831E+01   0.460788990E+00   0.127688043E+01   0.907236627E+01   0.560934078E+00   0.114174752E+01   0.338431150E+01   0.120225307E+01   0.328233255E+01   0.246396591E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681722192E+01
  0.272407256E+03   0.322708424E-05   0.587097173E-06   0.290470670E-04   0.103947696E-03   0.598394255E-03   0.913684077E+01   0.470018899E+00   0.129414831E+01   0.471854034E+00   0.127688043E+01   0.927339794E+01   0.560934078E+00   0.116805520E+01   0.338431150E+01   0.123155802E+01   0.328233255E+01   0.252466096E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681722571E+01
  0.281800610E+03   0.323259906E-05   0.587097173E-06   0.300234845E-04   0.103947696E-03   0.619098329E-03   0.913684077E+01   0.481317791E+00   0.129414831E+01   0.482963443E+00   0.127688043E+01   0.947647928E+01   0.560934078E+00   0.119436289E+01   0.338431150E+01   0.126086297E+01   0.328233255E+01   0.258535601E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681722989E+01
  0.291193963E+03   0.323811387E-05   0.587097173E-06   0.309999019E-04   0.103947696E-03   0.639802403E-03   0.913684077E+01   0.492657510E+00   0.129414831E+01   0.494114224E+00   0.127688043E+01   0.968148131E+01   0.560934078E+00   0.122067057E+01   0.338431150E+01   0.129016792E+01   0.328233255E+01   0.264605106E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681723447E+01
  0.300587317E+03   0.324362868E-05   0.587097173E-06   0.319763194E-04   0.103947696E-03   0.660506477E-03   0.913684077E+01   0.504035300E+00   0.129414831E+01   0.505303638E+00   0.127688043E+01   0.988828457E+01   0.560934078E+00   0.124697825E+01   0.338431150E+01   0.131947286E+01   0.328233255E+01   0.270674611E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681723944E+01
  0.309980671E+03   0.324914349E-05   0.587097173E-06   0.329527369E-04   0.103947696E-03   0.681210551E-03   0.913684077E+01   0.515448641E+00   0.129414831E+01   0.516529174E+00   0.127688043E+01   0.100967784E+02   0.560934078E+00   0.127328594E+01   0.338431150E+01   0.134877781E+01   0.328233255E+01   0.276744116E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681724480E+01
  0.319374024E+03   0.325465830E-05   0.587097173E-06   0.339291543E-04   0.103947696E-03   0.701914625E-03   0.913684077E+01   0.526895223E+00   0.129414831E+01   0.527788528E+00   0.127688043E+01   0.103068602E+02   0.560934078E+00   0.129959362E+01   0.338431150E+01   0.137808276E+01   0.328233255E+01   0.282813621E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681725055E+01
  0.328767378E+03   0.326017311E-05   0.587097173E-06   0.349055718E-04   0.103947696E-03   0.722618700E-03   0.913684077E+01   0.538372924E+00   0.129414831E+01   0.539079581E+00   0.127688043E+01   0.105184348E+02   0.560934078E+00   0.132590131E+01   0.338431150E+01   0.140738771E+01   0.328233255E+01   0.288883126E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681725669E+01
  0.338160732E+03   0.326568792E-05   0.587097173E-06   0.358819893E-04   0.103947696E-03   0.743322774E-03   0.913684077E+01   0.549879796E+00   0.129414831E+01   0.550400381E+00   0.127688043E+01   0.107314139E+02   0.560934078E+00   0.135220899E+01   0.338431150E+01   0.143669266E+01   0.328233255E+01   0.294952631E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681726323E+01
  0.347554085E+03   0.327120274E-05   0.587097173E-06   0.368584067E-04   0.103947696E-03   0.764026848E-03   0.913684077E+01   0.561414046E+00   0.129414831E+01   0.561749130E+00   0.127688043E+01   0.109457156E+02   0.560934078E+00   0.137851667E+01   0.338431150E+01   0.146599760E+01   0.328233255E+01   0.301022136E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681727016E+01
  0.356947439E+03   0.327671755E-05   0.587097173E-06   0.378348242E-04   0.103947696E-03   0.784730922E-03   0.913684077E+01   0.572974020E+00   0.129414831E+01   0.573124168E+00   0.127688043E+01   0.111612636E+02   0.560934078E+00   0.140482436E+01   0.338431150E+01   0.149530255E+01   0.328233255E+01   0.307091641E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681727749E+01
  0.366340793E+03   0.328223236E-05   0.587097173E-06   0.388112417E-04   0.103947696E-03   0.805434996E-03   0.913684077E+01   0.584558193E+00   0.129414831E+01   0.584523960E+00   0.127688043E+01   0.113779871E+02   0.560934078E+00   0.143113204E+01   0.338431150E+01   0.152460750E+01   0.328233255E+01   0.313161146E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681728520E+01
  0.375734146E+03   0.328774717E-05   0.587097173E-06   0.397876591E-04   0.103947696E-03   0.826139070E-03   0.913684077E+01   0.596165152E+00   0.129414831E+01   0.595947086E+00   0.127688043E+01   0.115958202E+02   0.560934078E+00   0.145743972E+01   0.338431150E+01   0.155391245E+01   0.328233255E+01   0.319230651E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681729331E+01
  0.385127500E+03   0.329326198E-05   0.587097173E-06   0.407640766E-04   0.103947696E-03   0.846843144E-03   0.913684077E+01   0.607793594E+00   0.129414831E+01   0.607392229E+00   0.127688043E+01   0.118147016E+02   0.560934078E+00   0.148374741E+01   0.338431150E+01   0.158321739E+01   0.328233255E+01   0.325300156E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681730181E+01
  0.385127500E+03   0.329326198E-05   0.587097173E-06   0.407640766E-04   0.103947696E-03   0.846843144E-03   0.913684077E+01   0.607793594E+00   0.129414831E+01   0.607392229E+00   0.127688043E+01   0.118147016E+02   0.560934078E+00   0.148374741E+01   0.338431150E+01   0.158321739E+01   0.328233255E+01   0.325300156E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.681730181E+01
  0.385427500E+03   0.329232148E-05  -0.685809401E-05   0.407966258E-04   0.113048077E-03   0.847504410E-03   0.913684077E+01   0.608156181E+00   0.123595249E+01   0.607767236E+00   0.133513212E+01   0.118217087E+02   0.560934078E+00   0.148456526E+01   0.324448443E+01   0.158417713E+01   0.341695048E+01   0.325494001E+02   0.158332919E+01   0.318837649E-01   0.322609004E-01   0.681730209E+01
  0.385727500E+03   0.328914656E-05  -0.143089667E-04   0.408319060E-04   0.122154456E-03   0.848165979E-03   0.913684077E+01   0.608500510E+00   0.117799427E+01   0.608160527E+00   0.139364701E+01   0.118287169E+02   0.560934078E+00   0.148533839E+01   0.310455996E+01   0.158518449E+01   0.355167130E+01   0.325687846E+02   0.158332919E+01   0.318836588E-01   0.322607631E-01   0.681730236E+01
  0.386027500E+03   0.328373558E-05  -0.217650333E-04   0.408699191E-04   0.131267217E-03   0.848828219E-03   0.913684077E+01   0.608826570E+00   0.112031804E+01   0.608572115E+00   0.145239991E+01   0.118357260E+02   0.560934078E+00   0.148606679E+01   0.296454230E+01   0.158623952E+01   0.368649907E+01   0.325881690E+02   0.158332919E+01   0.318835583E-01   0.322606315E-01   0.681730263E+01
  0.386327500E+03   0.327608707E-05  -0.292258052E-04   0.409106670E-04   0.140386744E-03   0.849491497E-03   0.913684077E+01   0.609134352E+00   0.106297720E+01   0.609002013E+00   0.151136971E+01   0.118427361E+02   0.560934078E+00   0.148675042E+01   0.282443563E+01   0.158734224E+01   0.382143785E+01   0.326075535E+02   0.158332919E+01   0.318834632E-01   0.322605056E-01   0.681730290E+01
  0.386627500E+03   0.326619967E-05  -0.366907936E-04   0.409541519E-04   0.149513424E-03   0.850156183E-03   0.913684077E+01   0.609423845E+00   0.100603657E+01   0.609450233E+00   0.157053868E+01   0.118497472E+02   0.560934078E+00   0.148738927E+01   0.268424418E+01   0.158849269E+01   0.395649170E+01   0.326269380E+02   0.158332919E+01   0.318833737E-01   0.322603854E-01   0.681730316E+01
  0.386927500E+03   0.325407222E-05  -0.441595091E-04   0.410003758E-04   0.158647640E-03   0.850822645E-03   0.913684077E+01   0.609695042E+00   0.949575598E+00   0.609916788E+00   0.162989186E+01   0.118567593E+02   0.560934078E+00   0.148798332E+01   0.254397215E+01   0.158969090E+01   0.409166469E+01   0.326463224E+02   0.158332919E+01   0.318832897E-01   0.322602709E-01   0.681730343E+01
  0.387227500E+03   0.323970365E-05  -0.516314618E-04   0.410493413E-04   0.167789779E-03   0.851491254E-03   0.913684077E+01   0.609947934E+00   0.893692622E+00   0.610401693E+00   0.168941660E+01   0.118637724E+02   0.560934078E+00   0.148853255E+01   0.240362374E+01   0.159093691E+01   0.423905155E+01   0.326657069E+02   0.158332919E+01   0.318832113E-01   0.322601622E-01   0.681730369E+01
  0.387527500E+03   0.322309306E-05  -0.591061612E-04   0.411010505E-04   0.176940225E-03   0.852162382E-03   0.913684077E+01   0.610182513E+00   0.838510593E+00   0.610904962E+00   0.174910218E+01   0.118707865E+02   0.560934078E+00   0.148903695E+01   0.226320318E+01   0.159223076E+01   0.439258894E+01   0.326850914E+02   0.158332919E+01   0.318831385E-01   0.322600592E-01   0.681730395E+01
  0.387827500E+03   0.320423972E-05  -0.665831168E-04   0.411555063E-04   0.186099365E-03   0.852836401E-03   0.913684077E+01   0.610398773E+00   0.784184823E+00   0.611426611E+00   0.180893950E+01   0.118778015E+02   0.560934078E+00   0.148949649E+01   0.212271468E+01   0.159357248E+01   0.455223879E+01   0.327044758E+02   0.158332919E+01   0.318830712E-01   0.322599621E-01   0.681730420E+01
  0.388127500E+03   0.318314302E-05  -0.740618373E-04   0.412127111E-04   0.195267583E-03   0.853513685E-03   0.913684077E+01   0.610596707E+00   0.730913510E+00   0.611966654E+00   0.186892084E+01   0.118848175E+02   0.560934078E+00   0.148991117E+01   0.198216245E+01   0.159496211E+01   0.471202587E+01   0.327238603E+02   0.158332919E+01   0.318830096E-01   0.322598708E-01   0.681730446E+01
  0.388427500E+03   0.315980249E-05  -0.815418314E-04   0.412726678E-04   0.204445266E-03   0.854194606E-03   0.913684077E+01   0.610776308E+00   0.678952046E+00   0.612525109E+00   0.192903965E+01   0.118918345E+02   0.560934078E+00   0.149028097E+01   0.184155072E+01   0.159639971E+01   0.487195500E+01   0.327432448E+02   0.158332919E+01   0.318829537E-01   0.322597854E-01   0.681730471E+01
  0.388727500E+03   0.313421784E-05  -0.890226073E-04   0.413353792E-04   0.213632799E-03   0.854879541E-03   0.913684077E+01   0.610937573E+00   0.628632328E+00   0.613101991E+00   0.198929037E+01   0.118988525E+02   0.560934078E+00   0.149060589E+01   0.170088371E+01   0.159788530E+01   0.503203099E+01   0.327626292E+02   0.158332919E+01   0.318829033E-01   0.322597058E-01   0.681730497E+01
  0.389027500E+03   0.310638890E-05  -0.965036731E-04   0.414008485E-04   0.222830568E-03   0.855568864E-03   0.913684077E+01   0.611080495E+00   0.580388347E+00   0.613697318E+00   0.204966830E+01   0.119058715E+02   0.560934078E+00   0.149088590E+01   0.156016564E+01   0.159941894E+01   0.519225869E+01   0.327820137E+02   0.158332919E+01   0.318828586E-01   0.322596322E-01   0.681730522E+01
  0.389327500E+03   0.307631566E-05  -0.103984537E-03   0.414690786E-04   0.232038961E-03   0.856262954E-03   0.913684077E+01   0.611205070E+00   0.534788725E+00   0.614311109E+00   0.211016947E+01   0.119128915E+02   0.560934078E+00   0.149112101E+01   0.141940073E+01   0.160100067E+01   0.535264293E+01   0.328013982E+02   0.158332919E+01   0.318828196E-01   0.322595645E-01   0.681730547E+01
