n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  20  drift  0.732550E+01   0.971969E+01  -0.315322E-02   0.115994E+01   0.132127E+01   0.217734E+01   0.249911E+01   0.103681E+03   0.179793E+03   0.587452E-03      0.212239E+00        0.293628E+00        0.331784E+00        0.336298E+00        0.458086E+00        0.567641E+00        0.602315E+02        0.808938E+02        0.905866E+02    -0.121359E-01  -0.871162E-02  -0.421855E-01  -0.805293E-01   0.144840E+00  -0.318972E+01  -0.374114E+01   0.367276E+01  -0.421557E+01   0.300753E+01  -0.399885E-01      0.176633E+04     0.000000E+00    0.128700E+04
  21  quad   0.762550E+01   0.971969E+01  -0.315322E-02   0.108251E+01   0.151027E+01   0.204680E+01   0.287391E+01   0.103678E+03   0.179694E+03   0.587452E-03      0.212275E+00        0.294270E+00        0.335159E+00        0.336451E+00        0.462158E+00        0.565677E+00        0.602314E+02        0.808954E+02        0.905883E+02    -0.112184E-01   0.688758E-01  -0.488800E-01  -0.373050E+00   0.144840E+00  -0.317745E+01   0.184924E+02   0.319825E+01  -0.284857E+02   0.392769E+01  -0.392239E-01      0.176623E+04     0.000000E+00    0.128700E+04
  22  drift  0.769850E+01   0.971969E+01  -0.315322E-02   0.103682E+01   0.159023E+01   0.196439E+01   0.302964E+01   0.103677E+03   0.179665E+03   0.587452E-03      0.212275E+00        0.294270E+00        0.335159E+00        0.336451E+00        0.462158E+00        0.565677E+00        0.602314E+02        0.808962E+02        0.905893E+02    -0.107157E-01   0.688758E-01  -0.516033E-01  -0.373050E+00   0.144840E+00  -0.317108E+01   0.177096E+02   0.293397E+01  -0.299957E+02   0.435461E+01  -0.390383E-01      0.176620E+04     0.000000E+00    0.128700E+04
  23  quad   0.799850E+01   0.971970E+01  -0.312309E-02   0.956894E+00   0.165556E+01   0.183547E+01   0.296284E+01   0.103456E+03   0.179604E+03   0.588241E-03      0.212265E+00        0.292121E+00        0.332711E+00        0.321490E+00        0.456508E+00        0.525931E+00        0.601747E+02        0.787517E+02        0.910425E+02    -0.107345E-01  -0.371690E-02  -0.613025E-01   0.409768E-01   0.144840E+00  -0.298065E+01  -0.264303E+01   0.249918E+01   0.460971E+01   0.493934E+01  -0.427518E-01      0.176034E+04     0.490000E+02    0.123800E+04
  24  drift  0.803500E+01   0.971970E+01  -0.312309E-02   0.960589E+00   0.164992E+01   0.184472E+01   0.295494E+01   0.103456E+03   0.179611E+03   0.588241E-03      0.212265E+00        0.292121E+00        0.332711E+00        0.321490E+00        0.456508E+00        0.525931E+00        0.601747E+02        0.787518E+02        0.910425E+02    -0.107481E-01  -0.371690E-02  -0.611529E-01   0.409768E-01   0.144840E+00  -0.298008E+01  -0.265469E+01   0.251851E+01   0.459327E+01   0.490575E+01  -0.426583E-01      0.176033E+04     0.000000E+00    0.123800E+04
  25  drift  0.123250E+02   0.971959E+01  -0.418814E-02   0.133764E+01   0.856055E+00   0.248923E+01   0.172417E+01   0.102933E+03   0.179948E+03   0.592067E-03      0.201995E+00        0.272044E+00        0.307742E+00        0.286156E+00        0.396862E+00        0.472455E+00        0.602340E+02        0.765509E+02        0.933547E+02    -0.704304E-02  -0.207564E-02  -0.477093E-01   0.456815E-01   0.144840E+00  -0.388249E+01  -0.376750E+01   0.513203E+01   0.220513E+01   0.148371E+01  -0.518534E-01      0.174087E+04     0.201000E+03    0.103700E+04
  26  drift  0.124150E+02   0.971959E+01  -0.418814E-02   0.134648E+01   0.844620E+00   0.250830E+01   0.170794E+01   0.102932E+03   0.179921E+03   0.592067E-03      0.201995E+00        0.272044E+00        0.307742E+00        0.286156E+00        0.396862E+00        0.472455E+00        0.602340E+02        0.765509E+02        0.933547E+02    -0.706172E-02  -0.207564E-02  -0.472982E-01   0.456815E-01   0.144840E+00  -0.388066E+01  -0.379415E+01   0.520009E+01   0.216957E+01   0.144434E+01  -0.516201E-01      0.174083E+04     0.000000E+00    0.103700E+04
  27  quad   0.127150E+02   0.971959E+01  -0.418814E-02   0.120301E+01   0.917550E+00   0.224917E+01   0.187950E+01   0.102927E+03   0.179829E+03   0.592067E-03      0.202001E+00        0.272645E+00        0.312308E+00        0.286195E+00        0.399046E+00        0.471685E+00        0.602339E+02        0.765502E+02        0.933539E+02    -0.621812E-02   0.570967E-01  -0.521659E-01  -0.377223E+00   0.144840E+00  -0.386885E+01   0.356733E+02   0.415084E+01  -0.115824E+02   0.170430E+01  -0.508417E-01      0.174069E+04     0.000000E+00    0.103700E+04
  28  drift  0.128950E+02   0.971959E+01  -0.418814E-02   0.101693E+01   0.102984E+01   0.190684E+01   0.212255E+01   0.102925E+03   0.179798E+03   0.592067E-03      0.202001E+00        0.272645E+00        0.312308E+00        0.286195E+00        0.399046E+00        0.471685E+00        0.602337E+02        0.765493E+02        0.933528E+02    -0.519038E-02   0.570967E-01  -0.589559E-01  -0.377223E+00   0.144840E+00  -0.385340E+01   0.301504E+02   0.296602E+01  -0.130098E+02   0.214696E+01  -0.503736E-01      0.174060E+04     0.000000E+00    0.103700E+04
  29  quad   0.131950E+02   0.971959E+01  -0.418814E-02   0.806670E+00   0.110208E+01   0.152388E+01   0.228978E+01   0.102920E+03   0.179794E+03   0.592067E-03      0.201998E+00        0.273819E+00        0.310453E+00        0.286156E+00        0.397048E+00        0.472676E+00        0.602336E+02        0.765479E+02        0.933511E+02    -0.398398E-02   0.247725E-01  -0.636650E-01   0.688940E-01   0.144840E+00  -0.383897E+01   0.909060E+01   0.186635E+01   0.337113E+01   0.245906E+01  -0.495944E-01      0.174046E+04     0.000000E+00    0.103700E+04
