 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.50371E+00       0.60418E-01      -0.25815E+00       0.65575E+00       0.15286E+00       0.31030E+00
      0      1       0.51557E+00      -0.41474E-01       0.14292E+00      -0.15160E+01      -0.19254E+01      -0.24985E+01
      0      1      -0.82212E+00       0.85046E-01       0.62192E-01       0.12048E+01      -0.18430E+01      -0.23900E+01
      0      1       0.79789E+00      -0.45757E-01      -0.11046E+00      -0.85674E+00       0.13503E+01       0.15661E+01
      0      1       0.13417E+00      -0.84542E-02      -0.22471E+00      -0.18677E+00      -0.42745E+00      -0.75182E+00
      0      1       0.29373E-01       0.20185E-01      -0.16456E+00      -0.27603E+00       0.18016E+01       0.20838E+01
      0      1      -0.39364E+00       0.33282E-01       0.21545E+00       0.25797E+01      -0.22018E+00      -0.16591E+00
      0      1       0.26882E+00      -0.16037E-01       0.31214E-01       0.21487E+01       0.12967E+01       0.17205E+01
      0      1       0.12742E+00      -0.21585E-01      -0.19692E+00       0.19951E+01      -0.19593E+01      -0.21402E+01
      0      1       0.12183E+01      -0.93251E-01      -0.91058E-01       0.32402E+00       0.29374E+00       0.59876E+00
      0      1      -0.56170E+00       0.55776E-01       0.14783E+00      -0.24025E+00      -0.21591E+01      -0.24055E+01
      0      1       0.83236E+00      -0.68172E-01      -0.17458E+00      -0.17050E+00      -0.43902E+00      -0.34268E+00
      0      1       0.32209E+00      -0.13784E-01       0.13187E-01       0.23965E+01      -0.47548E+00      -0.35266E+00
      0      1      -0.72150E+00       0.51576E-01      -0.10768E+00      -0.56143E+00      -0.20010E+01      -0.21142E+01
      0      1      -0.37567E-01      -0.29549E-01       0.74933E-01       0.29037E+00       0.28829E+00       0.39087E+00
      0      1      -0.91244E+00       0.88842E-01      -0.25982E+00      -0.24859E+00      -0.50656E+00      -0.45949E+00
      0      1      -0.95088E+00       0.85550E-01       0.90766E-01      -0.26572E+01       0.14012E+01       0.15797E+01
      0      1       0.25060E+00      -0.42954E-01       0.15594E+00       0.22237E+01      -0.12091E+01      -0.15490E+01
      0      1      -0.17961E+00      -0.17827E-02      -0.15524E-01       0.31457E+01      -0.12159E+01      -0.13060E+01
      0      1       0.49777E+00      -0.29239E-01       0.23538E+00      -0.10437E+01       0.17836E+00       0.38925E+00
      0      1       0.52094E+00      -0.54838E-01       0.18982E+00      -0.70615E+00       0.20480E+00       0.29741E+00
      0      1      -0.59970E+00       0.64339E-01       0.19135E+00      -0.11918E+01       0.21789E-02       0.10451E+00
      0      1       0.53936E+00      -0.37922E-01       0.15826E+00       0.14470E+01       0.13820E+01       0.14411E+01
      0      1      -0.17245E+00       0.13779E-01       0.20798E+00       0.53585E+00       0.24554E+01       0.30063E+01
      0      1      -0.33884E+00       0.46236E-01       0.92512E-01       0.83582E+00       0.19575E+00       0.86824E-01
      0      1      -0.27339E+00       0.40438E-01      -0.17299E+00       0.25388E-01      -0.55633E+00      -0.88632E+00
      0      1      -0.46463E+00       0.54105E-01       0.13273E+00       0.11580E+01      -0.64873E+00      -0.10473E+01
      0      1      -0.43111E-01      -0.27934E-02       0.18093E+00       0.28104E+01       0.16512E+01       0.20194E+01
      0      1      -0.12118E+01       0.10632E+00      -0.13233E+00      -0.78962E+00      -0.12983E+01      -0.13144E+01
      0      1       0.24347E+00      -0.24246E-01       0.10068E+00      -0.19488E+01       0.14407E+01       0.17701E+01
      0      1      -0.68632E+00       0.39091E-01      -0.12090E-01      -0.80890E+00      -0.13359E+01      -0.18287E+01
      0      1       0.48483E+00      -0.49908E-01      -0.94518E-03      -0.25615E+01      -0.19122E+00       0.14175E+00
      0      1      -0.31506E-01       0.14447E-01       0.19465E+00       0.67255E+00      -0.17586E+01      -0.23183E+01
      0      1       0.34586E+00      -0.10633E-01      -0.13251E+00      -0.17513E+01       0.18965E+00       0.26487E+00
      0      1      -0.42975E+00       0.53980E-01       0.99425E-01       0.38879E+00       0.65706E+00       0.96156E+00
      0      1      -0.64224E+00       0.65688E-01      -0.32008E-01       0.30578E+01       0.81598E+00       0.72958E+00
      0      1      -0.10654E+01       0.71944E-01      -0.71864E-01      -0.19771E+01      -0.41070E+00      -0.46583E+00
      0      1       0.62896E+00      -0.66773E-01      -0.80530E-01      -0.13671E+01      -0.95374E+00      -0.13473E+01
      0      1       0.44787E+00      -0.45278E-01       0.15355E-01       0.28162E+01      -0.12390E+01      -0.14606E+01
      0      1      -0.39219E+00       0.45398E-01      -0.88571E-01       0.67708E+00       0.14041E+01       0.13506E+01
      0      1      -0.10686E+01       0.77664E-01       0.99108E-01       0.23742E+01       0.49461E-01       0.10844E+00
      0      1       0.51777E+00      -0.54660E-01      -0.23176E+00      -0.26264E+01       0.69886E+00       0.83140E+00
      0      1       0.49581E+00      -0.50855E-01      -0.17949E-01      -0.16299E+01      -0.59193E+00      -0.10840E+01
      0      1      -0.10989E+00       0.20628E-01       0.32244E+00       0.34893E+00       0.52278E+00       0.47319E+00
      0      1      -0.12258E+00       0.68859E-02      -0.30575E+00       0.94030E+00      -0.13324E+01      -0.13692E+01
      0      1       0.61588E+00      -0.56529E-01       0.91419E-01      -0.18412E+01      -0.53201E+00      -0.47371E+00
      0      1       0.57245E+00      -0.46920E-01      -0.17323E+00       0.12795E+01       0.10061E+01       0.14102E+01
      0      1      -0.66677E+00       0.60014E-01      -0.17941E-01      -0.24194E+01       0.76008E+00       0.72509E+00
      0      1      -0.24563E+00       0.40645E-01       0.11425E-01       0.35125E+01      -0.38272E+00      -0.41025E+00
      0      1      -0.57565E+00       0.36250E-01       0.81541E-01      -0.26129E+01       0.11184E+01       0.14930E+01
      0      1      -0.79825E+00       0.44016E-01       0.11432E+00       0.13479E+00      -0.60752E+00      -0.65594E+00
      0      1      -0.28271E+00       0.39290E-01       0.17838E+00      -0.11739E+01       0.98947E+00       0.13988E+01
      0      1       0.95416E-01       0.80900E-02      -0.20017E+00      -0.23998E+01      -0.16205E+01      -0.17640E+01
      0      1       0.11315E+00      -0.23468E-01      -0.13308E+00      -0.13287E+00      -0.23063E+00      -0.24526E+00
      0      1       0.80675E+00      -0.73626E-01       0.46637E-01       0.13821E+01       0.93324E-01      -0.64155E-01
      0      1      -0.78636E+00       0.72709E-01      -0.27016E+00       0.27781E+00      -0.99702E+00      -0.10727E+01
      0      1      -0.16375E+00       0.13828E-01      -0.17568E+00      -0.30194E+01       0.15711E+01       0.19911E+01
      0      1       0.57509E+00      -0.35847E-01      -0.22673E+00      -0.91889E+00      -0.14710E+01      -0.15642E+01
      0      1      -0.44941E+00       0.37373E-01      -0.23537E+00       0.46550E+00      -0.15667E+00      -0.17819E+00
      0      1      -0.18975E+00       0.23500E-01      -0.48483E-01       0.13923E+01       0.11411E+00       0.48279E+00
      0      1       0.18394E+00      -0.15997E-01      -0.21572E+00       0.32900E+01       0.34552E-01       0.82436E-01
      0      1      -0.22068E+00       0.27902E-01      -0.52678E-01       0.16082E+01      -0.29264E+00      -0.11722E+00
      0      1       0.15504E+00      -0.11103E-01       0.94051E-01      -0.38336E+00       0.10923E+01       0.81122E+00
      0      1       0.33490E+00      -0.70138E-02      -0.11969E+00       0.19521E+01      -0.70428E-01       0.16764E+00
      0      1      -0.36930E+00       0.38535E-01       0.28748E+00       0.16737E+01      -0.10312E+01      -0.10369E+01
      0      1      -0.25516E+00       0.36049E-01      -0.20620E+00       0.46888E+00       0.13091E+01       0.12307E+01
      0      1      -0.62426E+00       0.67425E-01      -0.51376E-01       0.13566E+01       0.49982E+00       0.65404E+00
      0      1       0.62350E-01       0.26438E-02       0.10666E+00      -0.27077E+01       0.82496E+00       0.96962E+00
      0      1      -0.30982E+00       0.49395E-01      -0.12589E+00       0.10772E+01      -0.11767E+01      -0.14711E+01
      0      1      -0.62058E-01       0.19475E-01       0.20070E+00      -0.11146E+01       0.15790E+01       0.18148E+01
      0      1       0.86046E+00      -0.54463E-01      -0.54757E-02      -0.18755E+01      -0.12743E+00      -0.33486E+00
      0      1       0.10156E+01      -0.82583E-01       0.21712E-01      -0.14154E+01       0.10033E+01       0.10783E+01
      0      1      -0.10034E+00       0.21324E-01      -0.59223E-01       0.26641E+01      -0.15558E+01      -0.18543E+01
      0      1       0.10725E+00      -0.19060E-01      -0.14056E+00       0.20794E-01       0.26561E+01       0.30015E+01
      0      1       0.13065E+00      -0.47526E-02       0.10260E-01      -0.21068E+01      -0.87394E+00      -0.14468E+01
      0      1       0.44470E+00      -0.36283E-01       0.22208E+00      -0.15552E+01      -0.14011E+01      -0.16320E+01
      0      1      -0.12773E+00       0.32349E-02      -0.96404E-01      -0.78703E+00       0.70974E+00       0.76653E+00
      0      1       0.12138E+00      -0.30646E-01      -0.47134E-01      -0.14640E+01       0.19916E+01       0.24172E+01
      0      1       0.57088E+00      -0.66050E-01       0.23526E-01      -0.63947E+00      -0.91962E+00      -0.10449E+01
      0      1       0.37871E+00      -0.14603E-01       0.15570E+00       0.10645E+01       0.94570E+00       0.91251E+00
      0      1      -0.13180E+01       0.11380E+00      -0.13766E+00      -0.15847E+01       0.86416E+00       0.95490E+00
      0      1       0.19014E+00      -0.11894E-01       0.16467E+00       0.14979E+01      -0.25126E+01      -0.30807E+01
      0      1      -0.46324E+00       0.49870E-01      -0.30554E-01      -0.53047E+00      -0.12725E+01      -0.13326E+01
      0      1      -0.36671E-01      -0.87618E-02      -0.17554E+00      -0.26438E+01       0.12348E+01       0.12019E+01
      0      1      -0.12730E+00       0.84405E-02      -0.15458E+00      -0.98891E-01       0.55391E+00       0.90207E+00
      0      1       0.73494E+00      -0.54190E-01       0.31287E-01       0.46948E+00      -0.27509E+01      -0.30346E+01
      0      1      -0.46656E+00       0.41355E-01       0.52845E-01      -0.19337E+01      -0.68401E+00      -0.10163E+01
      0      1       0.36316E+00      -0.14096E-01      -0.17512E-01       0.18629E+01      -0.67686E+00      -0.78370E+00
      0      1       0.79763E-02      -0.66454E-02       0.95585E-02      -0.20556E+01      -0.13706E+01      -0.12076E+01
      0      1       0.90935E-01      -0.28926E-01      -0.66574E-01       0.10551E+01       0.34710E+00       0.21486E+00
      0      1      -0.14089E+00       0.13999E-01       0.24106E+00       0.83786E+00       0.86659E+00       0.67701E+00
      0      1      -0.30878E+00       0.22960E-01       0.25644E+00      -0.21588E+01      -0.68066E+00      -0.91120E+00
      0      1      -0.64729E+00       0.72678E-01       0.22815E-01      -0.39564E-01       0.20114E+01       0.23123E+01
      0      1      -0.54203E-01       0.33298E-02       0.94867E-01      -0.91554E+00       0.12112E+01       0.16123E+01
