       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.647000000E+02   0.489537731E-06   0.128690975E-04   0.340698847E-06  -0.227262788E-04   0.177875614E-02   0.585999999E+01   0.372757588E+00   0.892814673E+01   0.367349724E+00   0.438512289E+01   0.104270821E+03   0.582911143E-01   0.894436514E+00   0.215447099E+02   0.890812153E+00   0.106498917E+02   0.179998977E+03   0.102284870E+00   0.167314112E+00   0.174993781E+00   0.906612278E+01
  0.649500000E+02   0.492811046E-06   0.133163929E-04   0.334808046E-06  -0.243988310E-04   0.178133224E-02   0.585999999E+01   0.374780116E+00   0.910857595E+01   0.367606043E+00   0.433865455E+01   0.104270818E+03   0.582911143E-01   0.899534647E+00   0.220020939E+02   0.891731101E+00   0.105497077E+02   0.179998100E+03   0.102284870E+00   0.167314694E+00   0.174993883E+00   0.906612311E+01
  0.652000000E+02   0.496195398E-06   0.137573297E-04   0.328500136E-06  -0.260629302E-04   0.178398355E-02   0.585999999E+01   0.376855695E+00   0.929108287E+01   0.367815973E+00   0.430019860E+01   0.104270815E+03   0.582911143E-01   0.904753845E+00   0.224624530E+02   0.892530119E+00   0.104481051E+02   0.179997225E+03   0.102284870E+00   0.167315299E+00   0.174994005E+00   0.906612345E+01
  0.654500000E+02   0.499689151E-06   0.141915436E-04   0.321777401E-06  -0.277171902E-04   0.178671462E-02   0.585999999E+01   0.378984562E+00   0.947564306E+01   0.367979480E+00   0.426999248E+01   0.104270812E+03   0.582911143E-01   0.910094814E+00   0.229258499E+02   0.893209098E+00   0.103450975E+02   0.179996352E+03   0.102284870E+00   0.167315929E+00   0.174994150E+00   0.906612380E+01
  0.657000000E+02   0.503290577E-06   0.146186530E-04   0.314642476E-06  -0.293602203E-04   0.178953006E-02   0.585999999E+01   0.381166961E+00   0.966223558E+01   0.368096538E+00   0.424822860E+01   0.104270810E+03   0.582911143E-01   0.915558277E+00   0.233923474E+02   0.893767948E+00   0.102406989E+02   0.179995480E+03   0.102284870E+00   0.167316583E+00   0.174994316E+00   0.906612417E+01
  0.659500000E+02   0.506997852E-06   0.150382587E-04   0.307098343E-06  -0.309906260E-04   0.179243451E-02   0.585999999E+01   0.383403143E+00   0.985084278E+01   0.368167128E+00   0.423504893E+01   0.104270807E+03   0.582911143E-01   0.921144974E+00   0.238620090E+02   0.894206595E+00   0.102074606E+02   0.179994610E+03   0.102284870E+00   0.167317262E+00   0.174994504E+00   0.906612455E+01
  0.662000000E+02   0.510809047E-06   0.154499428E-04   0.299148332E-06  -0.326070102E-04   0.179543271E-02   0.585999999E+01   0.385693365E+00   0.100414500E+02   0.368191238E+00   0.423054088E+01   0.104270805E+03   0.582911143E-01   0.926855660E+00   0.243348985E+02   0.894524979E+00   0.102080567E+02   0.179993740E+03   0.102284870E+00   0.167317967E+00   0.174994713E+00   0.906612494E+01
  0.664500000E+02   0.514722127E-06   0.158532681E-04   0.290796123E-06  -0.342079741E-04   0.179852939E-02   0.585999999E+01   0.388037893E+00   0.102340456E+02   0.368168865E+00   0.423473464E+01   0.104270803E+03   0.582911143E-01   0.932691109E+00   0.248110802E+02   0.894723058E+00   0.102288387E+02   0.179992870E+03   0.102284870E+00   0.167318697E+00   0.174994945E+00   0.906612535E+01
  0.667000000E+02   0.518734946E-06   0.162477770E-04   0.282045746E-06  -0.357921179E-04   0.180172938E-02   0.585999999E+01   0.390437000E+00   0.104286204E+02   0.368100011E+00   0.424760226E+01   0.104270801E+03   0.582911143E-01   0.938652109E+00   0.252906189E+02   0.894800806E+00   0.102590059E+02   0.179992000E+03   0.102284870E+00   0.167319453E+00   0.174995198E+00   0.906612577E+01
  0.669500000E+02   0.522845241E-06   0.166329910E-04   0.272901582E-06  -0.373580423E-04   0.180503755E-02   0.585999999E+01   0.392890966E+00   0.106251678E+02   0.367984689E+00   0.426905854E+01   0.104270799E+03   0.582911143E-01   0.944739469E+00   0.257735799E+02   0.894758212E+00   0.103132069E+02   0.179991130E+03   0.102284870E+00   0.167320236E+00   0.174995474E+00   0.906612620E+01
