       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.327768085E+03   0.349386630E-05   0.629294260E-06   0.373030386E-04   0.111418844E-03   0.842978525E-03   0.692999906E+01   0.575757684E+00   0.138716407E+01   0.576536385E+00   0.136865508E+01   0.116257802E+02   0.560934078E+00   0.141819944E+01   0.362755587E+01   0.150520083E+01   0.351824728E+01   0.320059803E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517070580E+01
  0.335962287E+03   0.349902287E-05   0.629294260E-06   0.382160272E-04   0.111418844E-03   0.864103585E-03   0.692999906E+01   0.586512557E+00   0.138716407E+01   0.587117181E+00   0.136865508E+01   0.118455534E+02   0.560934078E+00   0.144279815E+01   0.362755587E+01   0.153260210E+01   0.351824728E+01   0.326150037E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517071246E+01
  0.344156489E+03   0.350417943E-05   0.629294260E-06   0.391290157E-04   0.111418844E-03   0.885228646E-03   0.692999906E+01   0.597290089E+00   0.138716407E+01   0.597721105E+00   0.136865508E+01   0.120663167E+02   0.560934078E+00   0.146739686E+01   0.362755587E+01   0.156000337E+01   0.351824728E+01   0.332240271E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517071943E+01
  0.352350691E+03   0.350933600E-05   0.629294260E-06   0.400420042E-04   0.111418844E-03   0.906353706E-03   0.692999906E+01   0.608089078E+00   0.138716407E+01   0.608346947E+00   0.136865508E+01   0.122880167E+02   0.560934078E+00   0.149199558E+01   0.362755587E+01   0.158740465E+01   0.351824728E+01   0.338330505E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517072669E+01
  0.360544894E+03   0.351449256E-05   0.629294260E-06   0.409549927E-04   0.111418844E-03   0.927478767E-03   0.692999906E+01   0.618908399E+00   0.138716407E+01   0.618993579E+00   0.136865508E+01   0.125106036E+02   0.560934078E+00   0.151659429E+01   0.362755587E+01   0.161480592E+01   0.351824728E+01   0.344420739E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517073425E+01
  0.368739096E+03   0.351964913E-05   0.629294260E-06   0.418679813E-04   0.111418844E-03   0.948603827E-03   0.692999906E+01   0.629747004E+00   0.138716407E+01   0.629659947E+00   0.136865508E+01   0.127340309E+02   0.560934078E+00   0.154119300E+01   0.362755587E+01   0.164220719E+01   0.351824728E+01   0.350510972E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517074211E+01
  0.376933298E+03   0.352480569E-05   0.629294260E-06   0.427809698E-04   0.111418844E-03   0.969728888E-03   0.692999906E+01   0.640603916E+00   0.138716407E+01   0.640345063E+00   0.136865508E+01   0.129582552E+02   0.560934078E+00   0.156579172E+01   0.362755587E+01   0.166960846E+01   0.351824728E+01   0.356601206E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517075026E+01
  0.385127500E+03   0.352996225E-05   0.629294260E-06   0.436939583E-04   0.111418844E-03   0.990853948E-03   0.692999906E+01   0.651478217E+00   0.138716407E+01   0.651048005E+00   0.136865508E+01   0.131832357E+02   0.560934078E+00   0.159039043E+01   0.362755587E+01   0.169700974E+01   0.351824728E+01   0.362691440E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517075871E+01
  0.385127500E+03   0.352996225E-05   0.629294260E-06   0.436939583E-04   0.111418844E-03   0.990853948E-03   0.692999906E+01   0.651478217E+00   0.138716407E+01   0.651048005E+00   0.136865508E+01   0.131832357E+02   0.560934078E+00   0.159039043E+01   0.362755587E+01   0.169700974E+01   0.351824728E+01   0.362691440E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517075871E+01
  0.385427500E+03   0.352858394E-05  -0.981957793E-05   0.437293006E-04   0.124197995E-03   0.991627447E-03   0.692999906E+01   0.651863819E+00   0.130543861E+01   0.651453008E+00   0.145056762E+01   0.131914864E+02   0.560934078E+00   0.159125961E+01   0.343105449E+01   0.169804639E+01   0.370742902E+01   0.362914411E+02   0.158332919E+01   0.318837307E-01   0.322608584E-01   0.517075903E+01
  0.385727500E+03   0.352406965E-05  -0.202770128E-04   0.437684779E-04   0.136985486E-03   0.992401667E-03   0.692999906E+01   0.652223755E+00   0.122419166E+01   0.651883701E+00   0.153293252E+01   0.131997380E+02   0.560934078E+00   0.159206595E+01   0.323441820E+01   0.169914998E+01   0.389675726E+01   0.363137382E+02   0.158332919E+01   0.318835944E-01   0.322606833E-01   0.517075934E+01
  0.386027500E+03   0.351641697E-05  -0.307420652E-04   0.438114928E-04   0.149781990E-03   0.993177439E-03   0.692999906E+01   0.652558011E+00   0.114353939E+01   0.652340100E+00   0.161569261E+01   0.132079905E+02   0.560934078E+00   0.159280942E+01   0.303765473E+01   0.170032055E+01   0.408623949E+01   0.363360353E+02   0.158332919E+01   0.318834676E-01   0.322605181E-01   0.517075964E+01
  0.386327500E+03   0.350562374E-05  -0.412137885E-04   0.438583481E-04   0.162588180E-03   0.993955595E-03   0.692999906E+01   0.652866574E+00   0.106363120E+01   0.652822224E+00   0.169880223E+01   0.132162439E+02   0.560934078E+00   0.159348999E+01   0.284077181E+01   0.170155815E+01   0.427588318E+01   0.363583324E+02   0.158332919E+01   0.318833503E-01   0.322603629E-01   0.517075994E+01
  0.386627500E+03   0.349168812E-05  -0.516912349E-04   0.439090468E-04   0.175404728E-03   0.994736970E-03   0.692999906E+01   0.653149432E+00   0.984662375E+00   0.653330092E+00   0.178222468E+01   0.132244983E+02   0.560934078E+00   0.159410763E+01   0.264377720E+01   0.170286283E+01   0.447200453E+01   0.363806295E+02   0.158332919E+01   0.318832426E-01   0.322602176E-01   0.517076024E+01
  0.386927500E+03   0.347460853E-05  -0.621734557E-04   0.439635920E-04   0.188232308E-03   0.995522401E-03   0.692999906E+01   0.653406573E+00   0.906892379E+00   0.653863722E+00   0.186593029E+01   0.132327537E+02   0.560934078E+00   0.159466231E+01   0.244667864E+01   0.170423463E+01   0.468463602E+01   0.364029267E+02   0.158332919E+01   0.318831446E-01   0.322600825E-01   0.517076054E+01
  0.387227500E+03   0.345438367E-05  -0.726595008E-04   0.440219873E-04   0.201071591E-03   0.996312726E-03   0.692999906E+01   0.653637988E+00   0.830671943E+00   0.654423138E+00   0.194989494E+01   0.132410099E+02   0.560934078E+00   0.159515402E+01   0.224948387E+01   0.170567363E+01   0.490867539E+01   0.364252238E+02   0.158332919E+01   0.318830562E-01   0.322599574E-01   0.517076083E+01
  0.387527500E+03   0.343101254E-05  -0.831484195E-04   0.440842362E-04   0.213923250E-03   0.997108787E-03   0.692999906E+01   0.653843666E+00   0.756483387E+00   0.655008359E+00   0.203409899E+01   0.132492671E+02   0.560934078E+00   0.159558274E+01   0.205220066E+01   0.170717986E+01   0.513290901E+01   0.364475209E+02   0.158332919E+01   0.318829774E-01   0.322598424E-01   0.517076112E+01
  0.387827500E+03   0.340449442E-05  -0.936392604E-04   0.441503426E-04   0.226787959E-03   0.997911425E-03   0.692999906E+01   0.654023601E+00   0.685000762E+00   0.655619411E+00   0.211852639E+01   0.132575252E+02   0.560934078E+00   0.159594845E+01   0.185483676E+01   0.170875339E+01   0.535734578E+01   0.364698180E+02   0.158332919E+01   0.318829083E-01   0.322597376E-01   0.517076141E+01
  0.388127500E+03   0.337482889E-05  -0.104131071E-03   0.442203104E-04   0.239666391E-03   0.998721487E-03   0.692999906E+01   0.654177786E+00   0.617178170E+00   0.656256316E+00   0.220316402E+01   0.132657843E+02   0.560934078E+00   0.159625113E+01   0.165739992E+01   0.171039429E+01   0.558199457E+01   0.364921151E+02   0.158332919E+01   0.318828489E-01   0.322596431E-01   0.517076170E+01
  0.388427500E+03   0.334201578E-05  -0.114622899E-03   0.442941439E-04   0.252559217E-03   0.999539818E-03   0.692999906E+01   0.654306213E+00   0.554373136E+00   0.656919099E+00   0.228800117E+01   0.132740442E+02   0.560934078E+00   0.159649078E+01   0.145989792E+01   0.171210261E+01   0.580686429E+01   0.365144122E+02   0.158332919E+01   0.318827992E-01   0.322595589E-01   0.517076199E+01
  0.388727500E+03   0.330605524E-05  -0.125113791E-03   0.443718474E-04   0.265467112E-03   0.100036727E-02   0.692999906E+01   0.654408877E+00   0.498497423E+00   0.657607787E+00   0.237302911E+01   0.132823051E+02   0.560934078E+00   0.159666738E+01   0.126233852E+01   0.171387843E+01   0.603196384E+01   0.365367093E+02   0.158332919E+01   0.318827592E-01   0.322594850E-01   0.517076227E+01
  0.389027500E+03   0.326694769E-05  -0.135602794E-03   0.444534257E-04   0.278390748E-03   0.100120469E-02   0.692999906E+01   0.654485776E+00   0.452137682E+00   0.658322407E+00   0.245824077E+01   0.132905669E+02   0.560934078E+00   0.159678093E+01   0.113009346E+01   0.171572181E+01   0.625730213E+01   0.365590064E+02   0.158332919E+01   0.318827289E-01   0.322594215E-01   0.517076256E+01
