n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  11  slit    7.0  14.0    -1      -1.408       0.496     160.200  -0.0007507  -0.0000671   0.1228063      -1.408       0.496       0.000  -0.0007507  -0.0000671   0.1228063       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.084       1.257     160.200  -0.0002837  -0.0001919   0.1228502       0.084       1.257       0.000  -0.0002837  -0.0001919   0.1228502       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.376      -1.217     160.200   0.0001788   0.0001662   0.1228453       0.376      -1.217       0.000   0.0001788   0.0001662   0.1228453       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.653       1.202     160.200   0.0005632  -0.0001421   0.1227986       0.653       1.202       0.000   0.0005632  -0.0001421   0.1227986       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.367      -0.671     160.200   0.0005666  -0.0001376   0.1228712       1.367      -0.671       0.000   0.0005666  -0.0001376   0.1228712       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.019       1.296     160.200  -0.0002404  -0.0001899   0.1228452      -0.019       1.296       0.000  -0.0002404  -0.0001899   0.1228452       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -1.020       1.244     160.200  -0.0005535  -0.0000439   0.1228327      -1.020       1.244       0.000  -0.0005535  -0.0000439   0.1228327       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.273       1.325     160.200  -0.0001762  -0.0000699   0.1228762       0.273       1.325       0.000  -0.0001762  -0.0000699   0.1228762       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.235       0.747     160.200   0.0007976  -0.0001740   0.1228652       1.235       0.747       0.000   0.0007976  -0.0001740   0.1228652       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.300       1.372     160.200  -0.0000936  -0.0000194   0.1228314       0.300       1.372       0.000  -0.0000936  -0.0000194   0.1228314       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.593       0.427     160.200   0.0007933  -0.0000263   0.1228770       1.593       0.427       0.000   0.0007933  -0.0000263   0.1228770       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.528      -1.359     160.200  -0.0004473   0.0001725   0.1227939      -0.528      -1.359       0.000  -0.0004473   0.0001725   0.1227939       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.290       0.366     160.200   0.0003644   0.0000921   0.1228051       1.290       0.366       0.000   0.0003644   0.0000921   0.1228051       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.483       0.236     160.200   0.0009146   0.0001014   0.1227958       1.483       0.236       0.000   0.0009146   0.0001014   0.1227958       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.298       0.560     160.200   0.0007540   0.0000829   0.1228112       1.298       0.560       0.000   0.0007540   0.0000829   0.1228112       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.268      -1.312     160.200  -0.0003848  -0.0001275   0.1228473      -0.268      -1.312       0.000  -0.0003848  -0.0001275   0.1228473       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.200      -0.601     160.200  -0.0008663  -0.0000997   0.1228107      -1.200      -0.601       0.000  -0.0008663  -0.0000997   0.1228107       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.262       0.433     160.200  -0.0004305  -0.0000653   0.1228977      -1.262       0.433       0.000  -0.0004305  -0.0000653   0.1228977       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.433      -0.076     160.200   0.0008573  -0.0001974   0.1228445       1.433      -0.076       0.000   0.0008573  -0.0001974   0.1228445       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.254      -0.438     160.200  -0.0003534  -0.0000049   0.1228426      -1.254      -0.438       0.000  -0.0003534  -0.0000049   0.1228426       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.532       0.089     160.200  -0.0007206  -0.0000323   0.1228439      -1.532       0.089       0.000  -0.0007206  -0.0000323   0.1228439       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.396      -0.315     160.200  -0.0007404  -0.0000244   0.1229039      -1.396      -0.315       0.000  -0.0007404  -0.0000244   0.1229039       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.347      -0.523     160.200  -0.0006774  -0.0000865   0.1228680      -1.347      -0.523       0.000  -0.0006774  -0.0000865   0.1228680       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.594      -0.287     160.200  -0.0007671   0.0000649   0.1228863      -1.594      -0.287       0.000  -0.0007671   0.0000649   0.1228863       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.276       0.029     160.200   0.0007699   0.0002505   0.1228514       1.276       0.029       0.000   0.0007699   0.0002505   0.1228514       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.462      -0.644     160.200  -0.0008411  -0.0000237   0.1228464      -1.462      -0.644       0.000  -0.0008411  -0.0000237   0.1228464       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.352      -1.251     160.200  -0.0003361  -0.0000361   0.1228406      -0.352      -1.251       0.000  -0.0003361  -0.0000361   0.1228406       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.323       1.276     160.200  -0.0001864   0.0000674   0.1228640      -0.323       1.276       0.000  -0.0001864   0.0000674   0.1228640       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.289       0.402     160.200   0.0005019   0.0002830   0.1228928       1.289       0.402       0.000   0.0005019   0.0002830   0.1228928       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.523      -0.027     160.200  -0.0008079   0.0002163   0.1228096      -1.523      -0.027       0.000  -0.0008079   0.0002163   0.1228096       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.512       1.245     160.200   0.0003138  -0.0000874   0.1228474       0.512       1.245       0.000   0.0003138  -0.0000874   0.1228474       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.603      -0.353     160.200   0.0007450   0.0000401   0.1228639       1.603      -0.353       0.000   0.0007450   0.0000401   0.1228639       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.457       0.013     160.200   0.0008285  -0.0001403   0.1228702       1.457       0.013       0.000   0.0008285  -0.0001403   0.1228702       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.424      -0.195     160.200   0.0009073  -0.0000775   0.1228458       1.424      -0.195       0.000   0.0009073  -0.0000775   0.1228458       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.202       0.571     160.200  -0.0005466   0.0000298   0.1228508      -1.202       0.571       0.000  -0.0005466   0.0000298   0.1228508       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.361       1.391     160.200  -0.0001803  -0.0000823   0.1228189      -0.361       1.391       0.000  -0.0001803  -0.0000823   0.1228189       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.219       0.133     160.200  -0.0005920   0.0000623   0.1228937      -1.219       0.133       0.000  -0.0005920   0.0000623   0.1228937       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.293       1.250     160.200  -0.0003351   0.0002047   0.1228059      -0.293       1.250       0.000  -0.0003351   0.0002047   0.1228059       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.279      -0.134     160.200  -0.0005795   0.0003127   0.1228215      -1.279      -0.134       0.000  -0.0005795   0.0003127   0.1228215       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
